AppID,merchant_id,merchant_name,currency,country,report_dt,category,timestamp,currency_value,info2,info3
55f13746-4f38-4c09-91d5-d348bc85efef,8OO0WLJJ,reliance,USD,CAN,12-Oct-2023,macbook,2023-10-12T04:00:00,468.59,,bill
1982a16d-f459-40e7-b583-c44bd7192965,8OO0WLJJ,reliance,EUR,IND,12-Oct-2023,,2023-10-12T04:00:00,75.62,,will
b426a46a-b3e2-47bd-82d9-ee07c89411dd,8OO0WLJJ,reliance,EUR,GBR,12-Oct-2023,,2023-10-12T04:00:00,899.15,we,specific
8b12ac5f-e2e4-4e68-a170-7f279b20d4b1,B7GIZPF6,uber,JPY,AUS,12-Oct-2023,watch,2023-10-12T04:00:00,681.95,western,
eb767bb4-21a3-4c01-b3d6-99240901e995,MB4KPTU2,Amazon,USD,CAN,12-Oct-2023,macbook,2023-10-12T04:00:00,526.59,myself,
4b8fbdfa-3b6b-47a7-8ffc-886573619ad3,B7GIZPF6,uber,GBP,GBR,12-Oct-2023,,2023-10-12T04:00:00,956.81,half,wife
a8222ffa-4c90-4a82-b44c-4d9e87869199,V8QOXTK6,Doordash,JPY,CAN,12-Oct-2023,,2023-10-12T04:00:00,405.82,others,staff
15451c72-c9b5-4ac0-a9bd-dd2915d6ae78,B7GIZPF6,uber,GBP,USA,12-Oct-2023,,2023-10-12T04:00:00,577.98,,article
49d85bce-7743-4139-96e4-c042af204e60,F4F2D65J,imapaz,INR,AUS,12-Oct-2023,,2023-10-12T04:00:00,102.13,,
55f13746-4f38-4c09-91d5-d348bc85efef,B7GIZPF6,uber,GBP,IND,12-Oct-2023,watch,2023-10-12T04:00:00,170.43,,
99f2ef0d-27c1-434d-86f1-2b4bbce98f43,B7GIZPF6,uber,EUR,GBR,12-Oct-2023,macbook,2023-10-12T04:00:00,516.75,,
0a76e678-0ad2-4e05-b23d-ca9f65cecf8a,F4F2D65J,imapaz,USD,IND,12-Oct-2023,ipad,2023-10-12T04:00:00,753.99,south,Mrs
9f0890ae-5094-4939-ac49-a72e88a89c7a,B7GIZPF6,uber,INR,GBR,12-Oct-2023,,2023-10-12T04:00:00,275.92,,raise
b2dd0a16-4e0b-4d8e-b4a4-66fcfc41b521,MB4KPTU2,Amazon,JPY,GBR,12-Oct-2023,,2023-10-12T04:00:00,773.34,federal,daughter
2be2afc2-ef29-47fa-a7ab-b4f58daf9144,MB4KPTU2,Amazon,INR,GBR,12-Oct-2023,iPhone,2023-10-12T04:00:00,494.66,left,or
b8e388bc-ebe1-4021-8352-48d12f0cb80a,V8QOXTK6,Doordash,GBP,IND,12-Oct-2023,,2023-10-12T04:00:00,130.13,,
e58653f5-10d0-4b55-a567-dfe4165a6cca,B7GIZPF6,uber,GBP,USA,12-Oct-2023,watch,2023-10-12T04:00:00,888.04,scene,somebody
606f2557-9b9b-4415-bb8c-33a09f7f3f02,V8QOXTK6,Doordash,EUR,CAN,12-Oct-2023,,2023-10-12T04:00:00,993.23,red,offer
a2475b97-ad72-4451-a351-78dfbb9cfa7c,8OO0WLJJ,reliance,GBP,CAN,12-Oct-2023,,2023-10-12T04:00:00,404.7,,share
24c659e4-793c-40fa-8897-18d2200d0c30,B7GIZPF6,uber,USD,GBR,12-Oct-2023,iPhone,2023-10-12T04:00:00,693.15,tree,
