AppID,merchant_id,merchant_name,currency,country,report_dt,category,timestamp,currency_value,info2,info3
5b96c8fd-64e4-4ec0-b26c-23833c3ebe82,B7GIZPF6,uber,USD,IND,12-Oct-2023,,2023-10-12T20:00:00,604.95,,
8b12ac5f-e2e4-4e68-a170-7f279b20d4b1,F4F2D65J,imapaz,INR,CAN,12-Oct-2023,,2023-10-12T20:00:00,451.6,lawyer,
702ddf8b-067a-4625-b315-39a74061d9d6,F4F2D65J,imapaz,GBP,GBR,12-Oct-2023,watch,2023-10-12T20:00:00,250.75,,
1d961038-a2c7-4095-9b15-e86c1ad908a1,B7GIZPF6,uber,EUR,USA,12-Oct-2023,macbook,2023-10-12T20:00:00,180.58,,support
cd7b3eb7-3c1e-4f6f-83a6-56b70b75a89e,B7GIZPF6,uber,INR,AUS,12-Oct-2023,ipad,2023-10-12T20:00:00,55.37,sing,
6dd14b2f-5fd6-47f7-abfe-243d69bd47a2,F4F2D65J,imapaz,INR,USA,12-Oct-2023,ipad,2023-10-12T20:00:00,871.19,,
8cf23a2d-15ec-4bff-8f8a-33bdec7f86da,MB4KPTU2,Amazon,INR,USA,12-Oct-2023,,2023-10-12T20:00:00,798.95,option,
15451c72-c9b5-4ac0-a9bd-dd2915d6ae78,B7GIZPF6,uber,INR,USA,12-Oct-2023,iPhone,2023-10-12T20:00:00,915.15,financial,
ca53f6df-a254-4c3b-85b4-406527b0fb7a,V8QOXTK6,Doordash,EUR,CAN,12-Oct-2023,,2023-10-12T20:00:00,596.51,question,message
26b9c6b4-9857-4144-a36e-72d9a6d1a5fa,V8QOXTK6,Doordash,GBP,GBR,12-Oct-2023,,2023-10-12T20:00:00,301.76,,
4bbae3cd-7bb1-4f9e-9892-75d7562d38bb,V8QOXTK6,Doordash,USD,AUS,12-Oct-2023,ipad,2023-10-12T20:00:00,107.06,wrong,yeah
d5311b4d-4015-49f5-b277-f4b00c921b59,MB4KPTU2,Amazon,GBP,IND,12-Oct-2023,macbook,2023-10-12T20:00:00,783.06,during,
ea87e319-767f-4b12-bfde-fa406f509c08,F4F2D65J,imapaz,INR,AUS,12-Oct-2023,,2023-10-12T20:00:00,696.53,,store
618a9909-de43-4d8b-b339-ea4c97e7d8fc,F4F2D65J,imapaz,GBP,IND,12-Oct-2023,,2023-10-12T20:00:00,916.09,,
606f2557-9b9b-4415-bb8c-33a09f7f3f02,8OO0WLJJ,reliance,GBP,GBR,12-Oct-2023,macbook,2023-10-12T20:00:00,314.85,it,
a219a820-24a8-4e06-b996-de0b2f940b89,B7GIZPF6,uber,INR,AUS,12-Oct-2023,iPhone,2023-10-12T20:00:00,95.88,board,decision
3d524ef4-6a9e-4f77-9ae5-6305785f0e85,B7GIZPF6,uber,GBP,GBR,12-Oct-2023,iPhone,2023-10-12T20:00:00,255.98,,decade
3d524ef4-6a9e-4f77-9ae5-6305785f0e85,F4F2D65J,imapaz,JPY,IND,12-Oct-2023,watch,2023-10-12T20:00:00,811.24,,no
b6f76f65-fcd9-44a5-9fdb-cd67c8555b33,8OO0WLJJ,reliance,JPY,GBR,12-Oct-2023,macbook,2023-10-12T20:00:00,933.48,everyone,
48bfa94d-6084-4e79-81af-11f2ffe9c5ff,V8QOXTK6,Doordash,GBP,GBR,12-Oct-2023,,2023-10-12T20:00:00,179.94,,specific
